Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
171	Stafette	springen	n			5	Stafetten	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	19	0	4	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	Qualifikation	springen	s			5	Qualifikationen	gesprungen	X	sprang|springst|springe|springt|sprangen|springen	34	0	15	0	0	0	0	6	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	Pferd	stehlen	e			9	Pferde	gestohlen	X	stahlen|stahl|stehlen|stehle|stiehlst|stiehlt	73	3	6	1	21	1	0	54	1	42	3	2	11	1	704	28	6	0	0	16	0	0	0	0	0	0	0	0	31	1	0	6	0	8	0
139	Treppe	steigen	n			6	Treppen	gestiegen	X	steigt|steige|stiegen|steigst|steigen|stieg|stiege	3172	89	749	8	354	13	2	899	25	81	8	3	1650	81	1213	46	5	0	0	167	6	6	0	0	1	0	0	1	15	1	0	50	1	82	3
137	Welle	surfen	n			6	Wellen	gesurft	X	surf|surfte|surfe|surften|surfst|surfen|surft	50	5	4	1	13	0	1	7	0	0	0	0	50	3	13	3	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	4	1	2	0
29	Höhle	tauchen	n			30	Höhlen	getaucht	X	tauchst|tauchte|taucht|tauchten|tauche|tauchen	229	47	32	2	1	0	0	58	0	0	0	0	155	42	7	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0
37	Strecke	tauchen	n			24	Strecken	getaucht	X	tauchst|tauchte|taucht|tauchten|tauche|tauchen	245	3	20	0	0	0	0	52	0	0	0	0	229	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193	Hypothese	testen	n			5	Hypothesen	getestet	X	testet|testen|teste|testeten|testete	24	0	5	0	1	0	0	1	0	0	0	0	3	0	16	0	0	0	0	17	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0
136	Welpe	töten	n			6	Welpen	getötet	X	tötest|töten|töteten|tötete|tötet|töte	7	0	1	0	6	1	0	1	0	0	0	0	3	0	14	1	0	0	0	4	0	0	0	0	0	0	0	0	15	1	0	0	0	1	0
142	Stange	treten	n			6	Stangen	getreten	X	treten|tritt|traten|trete|trat|tretet|träten|träte|trittst	33	0	3	0	4	1	0	4	0	0	0	0	41	0	31	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
