Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
427	Kalk	löschen	0			8	Kalkes	gelöscht	X	löschte|löschten|löscht|löschen|lösche	16	0	4	0	1	0	0	4	0	1	0	0	14	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
334	Rätsel	lösen	0			11	Rätsel	gelöst	X	lösten|lösen|löste|löse|löst	119	0	21	0	891	13	1	37	0	8	1	0	51	0	863	60	0	0	0	436	17	1	0	1	0	0	0	0	278	26	0	3	0	91	9
387	Schleim	lösen	0			9	Schleime	gelöst	X	lösten|lösen|löste|löse|löst	38	11	1	0	29	0	0	36	6	10	0	0	4	4	20	1	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0
430	Haken	lösen	0			8	Haken	gelöst	X	lösten|lösen|löste|löse|löst	36	3	6	0	19	1	0	27	3	20	1	0	7	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	3	0
443	Wasser	lösen	0			7	Wassern	gelöst	X	lösten|lösen|löste|löse|löst	42	5	4	0	37	1	0	20	2	125	2	1	9	1	482	10	0	0	0	53	0	0	0	0	0	0	0	7	601	18	0	8	0	225	14
152	Daumen	lutschen	0			27	Daumen	gelutscht	X	lutschten|lutschte|lutschen|lutscht	289	4	93	1	9	1	0	25	0	3	1	0	227	2	31	3	0	1	0	8	0	1	0	49	3	1	0	0	8	2	0	1	0	19	0
602	Schwanz	lutschen	0			5	Schwänze	gelutscht	X	lutschten|lutschte|lutschen|lutscht	39	5	5	0	18	2	0	8	0	0	0	0	28	6	49	10	0	0	0	11	4	0	0	0	0	0	0	0	10	3	0	0	0	11	6
29	Musik	machen	0			187	Musiken	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	1447	58	365	10	1132	77	1	521	22	270	21	2	541	35	7796	511	6	1	0	3593	115	109	7	67	2	1	1	0	1846	93	0	3	1	2358	151
71	Feuer	machen	0			68	Feuern	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	554	26	115	3	298	7	2	220	5	100	4	2	274	17	1211	67	1	0	0	281	14	5	0	7	0	0	0	0	352	21	0	10	0	208	14
79	Mut	machen	0			61	Mutes	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	431	56	66	5	1428	48	1	129	26	124	17	1	263	40	9149	344	4	1	1	2107	62	0	0	0	1	0	0	1	2578	169	0	17	5	1656	94
