Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
167	Zitrone	schnitzen	n			5	Zitronen	geschnitzt	X	schnitzte|schnitzten|schnitzen|schnitze|schnitzt
27	Fahne	schwenken	n			33	Fahnen	geschwenkt	X	schwenkte|schwenkten|schwenken|schwenke|schwenkt
18	Farbe	sehen	n			51	Farben	gesehn	X	sähe|sah|seht|siehts|sahst|siehst|sieht|sehe|sehen|sahen|seh
155	Grenze	setzen	n			6	Grenzen	gesetzt	X	setzten|setzen|setzte|setze|setzet|setzt
86	Seife	sieden	n			10	Seifen	gesotten	X	sott|sieden|sotten|siedet
121	Psalm	singen	en			7	Psalmen	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst
124	Martin	singen	s			7	Martin	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst
126	Leistung	singen	s			7	Leistungen	gesungen	X	sänge|singet|singt|sangen|sang|singen|singe|singst
38	Punkt	springen	e			23	Punkte	gesprungen	X	sprang|springst|springe|springt|sprangen|springen
44	Mannschaft	springen	s			21	Mannschaften	gesprungen	X	sprang|springst|springe|springt|sprangen|springen
63	Klippe	springen	n			15	Klippen	gesprungen	X	sprang|springst|springe|springt|sprangen|springen
150	Lücke	springen	n			6	Lücken	gesprungen	X	sprang|springst|springe|springt|sprangen|springen
171	Stafette	springen	n			5	Stafetten	gesprungen	X	sprang|springst|springe|springt|sprangen|springen
176	Qualifikation	springen	s			5	Qualifikationen	gesprungen	X	sprang|springst|springe|springt|sprangen|springen
96	Pferd	stehlen	e			9	Pferde	gestohlen	X	stahlen|stahl|stehlen|stehle|stiehlst|stiehlt
139	Treppe	steigen	n			6	Treppen	gestiegen	X	steigt|steige|stiegen|steigst|steigen|stieg|stiege
137	Welle	surfen	n			6	Wellen	gesurft	X	surf|surfte|surfe|surften|surfst|surfen|surft
29	Höhle	tauchen	n			30	Höhlen	getaucht	X	tauchst|tauchte|taucht|tauchten|tauche|tauchen
37	Strecke	tauchen	n			24	Strecken	getaucht	X	tauchst|tauchte|taucht|tauchten|tauche|tauchen
193	Hypothese	testen	n			5	Hypothesen	getestet	X	testet|testen|teste|testeten|testete
136	Welpe	töten	n			6	Welpen	getötet	X	tötest|töten|töteten|tötete|tötet|töte
142	Stange	treten	n			6	Stangen	getreten	X	treten|tritt|traten|trete|trat|tretet|träten|träte|trittst
195	Hand	trocknen	~e			5	Hände	getrocknet	X	trocknet|trockneten|trocknen|trockne|trocknete
56	Falte	unterspritzen	n	unter		17	Falten	unterspritzt	X	unterspritze|unterspritzt|unterspritzen|unterspritzte|unterspritztest|unterspritzten
104	Auge	verdrehen	n	ver		9	Augen	verdreht	X	verdrehte|verdrehe|verdreht|verdrehen|verdrehten
