# Frequency list

# Corpus: decow16a-nano
# Query:  "[A-ZÄÖÜ][a-zäöüß]+_\+=?[a-z]+_[a-zäöüß]+en" 20020

# Frequency limit: 0


Full nominal compound analysis	Frequency	
Kausalität_+s_denken	7	
Herrschaft_+s_denken	7	
Glas_+=er_klirren	7	
Gesundheit_+s_empfinden	7	
Gerechtigkeit_+s_denken	7	
Gefühl_+s_erleben	7	
Gans_+=e_schießen	7	
Fuß_+=e_waschen	7	
Fisch_+e_geboren	7	
Film_+e_drehen	7	
Festung_+s_gefangen	7	
Familie_+n_wohnen	7	
Eröffnung_+s_springen	7	
Erbe_+n_hausen	7	
Dualität_+s_denken	7	
Dose_+n_öffnen	7	
Buch_+=er_begehren	7	
Bewegung_+s_schießen	7	
Bett_+en_bauen	7	
Betreibung_+s_begehren	7	
Beere_+n_pflücken	7	
Alter_+s_hausen	7	
Abänderung_+s_begehren	7	
Überwachung_+s_verschulden	6	
Zunge_+n_reden	6	
Zeitung_+s_lesen	6	
Wert_+e_denken	6	
Welpe_+n_töten	6	
Welle_+n_surfen	6	
Vorteil_+s_denken	6	
Volk_+s_polen	6	
Verteidigung_+s_vorbringen	6	
Uhr_+en_machen	6	
Treppe_+n_steigen	6	
Tour_+en_fahren	6	
Straße_+n_fahren	6	
Stange_+n_treten	6	
Spur_+en_lesen	6	
Sonne_+n_cremen	6	
Schuh_+e_zubinden	6	
Schablone_+n_denken	6	
Ruder_+s_hausen	6	
Ring_+s_hausen	6	
Reihe_+n_knutschen	6	
Quartal_+s_denken	6	
Platte_+n_legen	6	
Phrase_+n_dreschen	6	
Nase_+n_jucken	6	
Mine_+n_legen	6	
Methode_+n_aufrufen	6	
Mannschaft_+s_fahren	6	
Lücke_+n_springen	6	
Lippe_+n_ablesen	6	
Lanze_+n_reiten	6	
Krippe_+n_bauen	6	
Kreativität_+s_denken	6	
Kraut_+=er_retten	6	
Kollision_+s_abfragen	6	
Kind_+er_bekommen	6	
Katze_+n_markieren	6	
Grenze_+n_setzen	6	
Glaube_+ns_denken	6	
Geschlecht_+s_bezogen	6	
Gemeinschaft_+s_wohnen	6	
Funke_+n_sprühen	6	
Freiheit_+s_denken	6	
Form_+en_zeichnen	6	
Form_+en_offen	6	
Form_+en_laufen	6	
Fisch_+e_versenken	6	
Ei_+er_fressen	6	
Dose_+n_schießen	6	
Büchse_+n_schießen	6	
Brücke_+n_schlagen	6	
Branche_+n_erfahren	6	
Boot_+s_fahren	6	
Bombe_+n_werfen	6	
Beruf_+s_betroffen	6	
Bein_+e_vertreten	6	
Behörde_+n_versagen	6	
Bedingung_+s_schießen	6	
Auslieferung_+s_übereinkommen	6	
Asche_+n_hausen	6	
Armut_+s_betroffen	6	
Arbeit_+s_bedingen	6	
Anwalt_+s_verschulden	6	
Überstellung_+s_übereinkommen	5	
Änderung_+s_begehren	5	
Zitrone_+n_schnitzen	5	
Zahn_+=e_ausbeißen	5	
Wünschelrute_+n_gehen	5	
Widerstand_+s_beiwerten	5	
Widerspruch_+s_begehren	5	
Weihnacht_+s_springen	5	
Volk_+=er_morden	5	
Vermittlung_+s_begehren	5	
Verkehr_+s_teilnehmen	5	
Umzug_+s_anfragen	5	
Tiefe_+n_entladen	5	
Tatsache_+n_vorbringen	5	
Tat_+en_hausen	5	
Sättigung_+s_empfinden	5	
Straße_+n_gehen	5	
Stimmung_+s_schwanken	5	
Stafette_+n_springen	5	
Spur_+en_legen	5	
Spiel_+e_erfinden	5	
Silbe_+n_zählen	5	
Sicherung_+s_begehren	5	
Sicherheit_+s_bezogen	5	
Senior_+en_schießen	5	
Schicksal_+s_haften	5	
Referendum_+s_begehren	5	
Quartier_+s_bezogen	5	
Qualifikation_+s_springen	5	
Putte_+n_hausen	5	
Prinz_+en_schießen	5	
Platte_+n_hören	5	
Plakat_+e_kleben	5	
Ort_+s_hausen	5	
Ohr_+en_bluten	5	
Note_+n_lesen	5	
Navigation_+s_ansagen	5	
Mutation_+s_testen	5	
Mittag_+s_läuten	5	
Meile_+n_fressen	5	
Medaille_+n_schießen	5	
Masse_+n_töten	5	
Masse_+n_abfragen	5	
Maschine_+n_denken	5	
Mann_+s_haften	5	
Lunge_+n_röntgen	5	
Loch_+=er_bohren	5	
Linie_+n_ziehen	5	
Liebling_+s_hausen	5	
Lehramt_+s_bezogen	5	
Leben_+s_bedingen	5	
Kunde_+n_bezogen	5	
Krieg_+s_denken	5	
Koenig_+s_hausen	5	
Kind_+er_erziehen	5	
Kette_+n_fangen	5	
Kerze_+n_gießen	5	
Katze_+n_schnurren	5	
Katze_+n_erfahren	5	
Kartoffel_+n_schälen	5	
Karte_+n_zählen	5	
Karte_+n_anfragen	5	
Inhalt_+s_bezogen	5	
Identität_+s_denken	5	
Hürde_+n_laufen	5	
Höhle_+n_grölen	5	
Hypothese_+n_testen	5	
Hocke_+n_hausen	5	
Herrschaft_+s_unterworfen	5	
Helligkeit_+s_empfinden	5	
Hausaufgabe_+n_machen	5	
