Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
24	Kanu	fahren	0			245	Kanus	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
32	Bus	fahren	0			160	Bussen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
34	Bahn	fahren	0			157	Bahnen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
39	Probe	fahren	0			133	Proben	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
40	Boot	fahren	0			133	Booten	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
47	Ballon	fahren	0			116	Ballons	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
49	Zug	fahren	0			113	Zügen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
50	Schlitten	fahren	0			111	Schlitten	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
56	Taxi	fahren	0			90	Taxis	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
61	Enduro	fahren	0			83	Enduros	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
64	Schi	fahren	0			77	Schi	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
67	Kajak	fahren	0			72	Kajaks	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
74	Moped	fahren	0			65	Mopeds	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
82	Roller	fahren	0			58	Roller	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
83	Velo	fahren	0			57	Velos	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
84	Hindernis	fahren	0			57	Hindernisse	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
96	Einrad	fahren	0			48	Einrädern	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
106	Gespann	fahren	0			44	Gespannen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
107	Snowboard	fahren	0			42	Snowboards	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
131	Buggy	fahren	0			33	Buggys	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
137	Cabrio	fahren	0			31	Cabrios	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
140	Kegel	fahren	0			30	Kegeln	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
145	Bob	fahren	0			29	Bob	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
153	Motorboot	fahren	0			26	Motorbooten	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
160	Traktor	fahren	0			24	Traktoren	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
172	Gelände	fahren	0			23	Geländen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
181	Skateboard	fahren	0			21	Skateboards	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
184	Achterbahn	fahren	0			21	Achterbahnen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
197	Bagger	fahren	0			20	Bagger	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
211	Test	fahren	0			18	Tests	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
213	Schlittschuh	fahren	0			18	Schlittschuhe	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
214	Kunst	fahren	0			18	Künste	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
244	Zweirad	fahren	0			15	Zweiräder	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
284	Tandem	fahren	0			13	Tandems	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
285	Straßenbahn	fahren	0			13	Straßenbahnen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
286	Slalom	fahren	0			13	Slaloms	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
289	Panzer	fahren	0			13	Panzer	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
297	Berg	fahren	0			13	Bergen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
337	Kreuz	fahren	0			11	Kreuze	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
364	Kutsche	fahren	0			10	Kutschen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
394	Kreis	fahren	0			9	Kreise	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
396	Karussell	fahren	0			9	Karussells	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
398	Inliner	fahren	0			9	Inliner	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
399	Hänger	fahren	0			9	Hänger	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
