Index	Noun	Verb	Linking	Prefix	Particle	Freq
496	Wurst	schnappen	0			6
291	Kürbis	schnitzen	0			13
293	Holz	schnitzen	0			13
541	Gemüse	schnitzen	0			6
573	Apfel	schnitzen	0			6
556	Deck	schrubben	0			6
454	Saft	schubsen	0			7
526	Maus	schubsen	0			6
339	Gold	schürfen	0			11
168	Rücken	schweben	0			23
110	Laser	schweißen	0			41
162	Punkt	schweißen	0			24
210	Ultraschall	schweißen	0			18
225	Kunststoff	schweißen	0			17
336	Plasma	schweißen	0			11
346	Elektro	schweißen	0			11
347	Bolzen	schweißen	0			11
569	Auftrag	schweißen	0			6
609	Roboter	schweißen	0			5
479	Fähnchen	schwenken	0			7
437	Bach	schwinden	0			8
207	Aura	sehen	0			19
200	Segel	setzen	0			19
485	Feuer	setzen	0			7
625	Licht	setzen	0			5
599	Seife	sieden	0			5
606	Salz	sieden	0			5
93	Ei	singen	0			49
104	Dreikönigs	singen	0			45
270	Mantra	singen	0			14
272	Kritik	singen	0			14
362	Mai	singen	0			10
404	Blatt	singen	0			9
426	Karaoke	singen	0			8
515	Probe	singen	0			6
517	Preis	singen	0			6
596	Sommer	singen	0			5
156	Nacht	skaten	0			25
484	Feuer	speien	0			7
258	Computer	spielen	0			15
261	Theater	spielen	0			14
372	Fußball	spielen	0			10
425	Klavier	spielen	0			8
649	Golf	spielen	0			5
22	Ski	springen	0			253
25	Fallschirm	springen	0			237
38	Seil	springen	0			138
65	Trampolin	springen	0			75
76	Stil	springen	0			64
102	Wasser	springen	0			45
146	Zeit	springen	0			28
176	Kunst	springen	0			22
251	Seilchen	springen	0			15
263	Tandem	springen	0			14
281	Weltcup	springen	0			13
303	Ziel	springen	0			12
306	Team	springen	0			12
315	Insel	springen	0			12
320	Bock	springen	0			12
415	Parcours	springen	0			8
536	Jagd	springen	0			6
570	Auftakt	springen	0			6
643	Haupt	springen	0			5
672	Barriere	springen	0			5
63	Schlange	stehen	0			79
422	Modell	stehen	0			8
580	Wache	stehen	0			5
120	Berg	steigen	0			36
321	Bein	stellen	0			12
189	Stein	stoßen	0			20
624	Lid	straffen	0			5
10	Wind	surfen	0			477
55	Internet	surfen	0			91
186	Web	surfen	0			20
548	Fluss	surfen	0			6
557	Couch	surfen	0			6
560	Body	surfen	0			6
365	Kraft	tanken	0			10
549	Energie	tanken	0			6
588	Strom	tanken	0			5
595	Sonne	tanken	0			5
190	Salsa	tanzen	0			20
242	Bauch	tanzen	0			16
249	Tango	tanzen	0			15
260	Turnier	tanzen	0			14
356	Seil	tanzen	0			10
386	Standard	tanzen	0			9
407	Walzer	tanzen	0			8
546	Fuß	tapsen	0			6
85	Sport	tauchen	0			55
143	Wrack	tauchen	0			29
191	Nacht	tauchen	0			20
276	Eis	tauchen	0			14
406	Zeit	tauchen	0			8
494	Apfel	tauchen	0			7
640	Hobby	tauchen	0			5
401	Handy	telefonieren	0			9
444	Video	telefonieren	0			7
442	Wasser	testen	0			7
375	Finger	tippen	0			10
376	Drachen	töten	0			10
266	Müll	trennen	0			14
57	Wasser	treten	0			86
463	Milch	treten	0			7
503	Tau	treten	0			6
616	Pflaster	treten	0			5
7	Kaffee	trinken	0			767
44	Tee	trinken	0			127
46	Bier	trinken	0			121
75	Wasser	trinken	0			64
111	Rausch	trinken	0			40
114	Wein	trinken	0			38
149	Kampf	trinken	0			28
182	Koma	trinken	0			21
195	Glühwein	trinken	0			20
208	Alkohol	trinken	0			19
268	Milch	trinken	0			14
331	Schnaps	trinken	0			11
558	Cocktail	trinken	0			6
563	Blut	trinken	0			6
610	Punsch	trinken	0			5
651	Genuss	trinken	0			5
219	Wäsche	trocknen	0			17
534	Klavier	üben	0			6
224	Literatur	übersetzen	0			17
318	Fach	übersetzen	0			12
544	Garten	umgraben	0			6
504	Strom	verbrauchen	0	ver		6
370	Geld	verbrennen	0	ver		10
238	Hochglanz	verdichten	0	ver		16
11	Geld	verdienen	0	ver		459
13	Blut	vergießen	0	ver		435
292	Kabel	verlegen	0	ver		13
448	Teppich	verlegen	0	ver		7
90	Text	verstehen	0	ver		50
436	Bild	verstehen	0	ver		8
462	Musik	verstehen	0	ver		7
542	Geld	verteilen	0	ver		6
88	Feuer	verzinken	0	ver		52
385	Stück	verzinken	0	ver		9
108	Beschwerde	vorbringen	0		vor	42
416	Orgasmus	vortäuschen	0		vor	8
30	Gold	waschen	0			180
48	Wäsche	waschen	0			114
73	Auto	waschen	0			66
431	Haar	waschen	0			8
579	Wagen	waschen	0			5
582	Trikot	waschen	0			5
101	Brettchen	weben	0			46
540	Hand	weben	0			6
72	Gas	wegnehmen	0		weg	66
142	Ball	wegschlagen	0		weg	30
279	Burg	werben	0			14
125	Ziel	werfen	0			34
129	Ball	werfen	0			34
130	Hufeisen	werfen	0			33
243	Axt	werfen	0			16
269	Messer	werfen	0			14
271	Lasso	werfen	0			14
333	Schein	werfen	0			11
390	Pfeil	werfen	0			9
457	Reis	werfen	0			7
476	Gewicht	werfen	0			7
587	Stöckchen	werfen	0			5
622	Los	werfen	0			5
664	Bällchen	werfen	0			5
674	Anker	werfen	0			5
280	Wunder	wirken	0			13
98	Probe	wohnen	0			47
212	Service	wohnen	0			18
464	Luxus	wohnen	0			7
521	Paar	wohnen	0			6
615	Pflege	wohnen	0			5
341	Geld	zählen	0			11
412	Schäfchen	zählen	0			8
123	Drachen	zähmen	0			35
89	Akt	zeichnen	0			51
277	Comic	zeichnen	0			14
296	Fach	zeichnen	0			13
359	Portrait	zeichnen	0			10
392	Mode	zeichnen	0			9
